station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LTAP,2024-06-03 16:50,35.5833,40.8500,535.00,78.80,53.60,41.69,10.00,11.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,78.80,LTAP 031650Z 01011KT 9999 FEW040 26/12 Q1016 NOSIG RMK RWY23 02011KT,
LTAP,2024-06-03 17:20,35.5833,40.8500,535.00,77.00,53.60,44.25,20.00,9.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,77.00,LTAP 031720Z 02009KT 9999 FEW040 25/12 Q1016 NOSIG RMK RWY23 02013KT,
LTAP,2024-06-03 17:50,35.5833,40.8500,535.00,73.40,53.60,49.90,10.00,5.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,73.40,LTAP 031750Z 01005KT 9999 FEW040 23/12 Q1016 NOSIG RMK RWY23 02012KT,
LTAP,2024-06-03 18:20,35.5833,40.8500,535.00,71.60,53.60,53.03,,2.00,0.00,30.03,,6.21,,FEW,,,,4000.00,,,,,,,,,,,71.60,LTAP 031820Z VRB02KT 9999 FEW040 22/12 Q1017 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-03 18:50,35.5833,40.8500,535.00,73.40,50.00,43.69,340.00,3.00,0.00,30.03,,6.21,,FEW,,,,4000.00,,,,,,,,,,,73.40,LTAP 031850Z 34003KT 290V010 9999 FEW040 23/10 Q1017 NOSIG RMK RWY23 VRB01KT,
LTAP,2024-06-03 19:20,35.5833,40.8500,535.00,71.60,50.00,46.43,360.00,5.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,71.60,LTAP 031920Z 36005KT CAVOK 22/10 Q1016 NOSIG RMK RWY23 06003KT 010V080,
LTAP,2024-06-03 19:50,35.5833,40.8500,535.00,68.00,51.80,56.13,230.00,3.00,0.00,30.03,,6.21,,,,,,,,,,,,,,,,,68.00,LTAP 031950Z 23003KT 190V350 CAVOK 20/11 Q1017 NOSIG RMK RWY23 03009KT,
LTAP,2024-06-03 20:20,35.5833,40.8500,535.00,64.40,55.40,72.56,240.00,6.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,64.40,LTAP 032020Z 24006KT 230V290 CAVOK 18/13 Q1016 NOSIG RMK RWY23 23003KT 180V290,
LTAP,2024-06-03 20:50,35.5833,40.8500,535.00,60.80,55.40,82.37,250.00,5.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,60.80,LTAP 032050Z 25005KT 220V290 CAVOK 16/13 Q1016 NOSIG RMK RWY23 VRB01KT,
LTAP,2024-06-03 21:20,35.5833,40.8500,535.00,62.60,53.60,72.38,300.00,4.00,0.00,30.00,,6.21,,,,,,,,,,,,,,,,,62.60,LTAP 032120Z 30004KT CAVOK 17/12 Q1016 NOSIG RMK RWY23 00000KT,
